English,Vietnamese
information,thông tin
available,có sẵn
university,trường đại học
management,ban quản lý
international,Quốc tế
development,sự phát triển
education,giáo dục
community,cộng đồng
technology,Công nghệ
following,tiếp theo
resources,tài nguyên
including,bao gồm
directory,danh mục
government,chính phủ
department,phòng
description,sự miêu tả
insurance,bảo hiểm
different,khác biệt
categories,Thể loại
conditions,các điều kiện
accessories,phụ kiện
september,Tháng Chín
questions,câu hỏi
application,đơn xin
financial,tài chính
equipment,Trang thiết bị
performance,màn biểu diễn
experience,kinh nghiệm
important,quan trọng
activities,các hoạt động
additional,thêm vào
something,thứ gì đó
professional,cao thủ
committee,Ủy ban
washington,Washington.
california,California.
reference,tài liệu tham khảo
companies,các công ty
computers,máy tính
president,chủ tịch
australia,Châu Úc
discussion,thảo luận
agreement,hợp đồng
marketing,tiếp thị
association,sự kết hợp
collection,thu thập
solutions,các giải pháp
electronics,thiết bị điện tử
technical,kỹ thuật
microsoft,Microsoft.
conference,hội nghị
environment,môi trường
statement,bản tường trình
downloads,Tải về
applications,các ứng dụng
requirements,Yêu cầu
individual,cá nhân
subscribe,đặt mua
everything,mọi thứ
production,sản xuất
commercial,thương mại
advertising,Quảng cáo
treatment,sự đối đãi
newsletter,Bản tin.
knowledge,hiểu biết
currently,Hiện nay
construction,sự thi công
registered,đăng ký
protection,sự bảo vệ
engineering,kỹ thuật
published,được phát hành
corporate,CÔNG TY.
customers,Khách hàng
materials,vật liệu
countries,Quốc gia
standards,tiêu chuẩn
political,thuộc về chính trị
advertise,Quảng cáo
environmental,thuộc về môi trường
availability,khả dụng
employment,thuê người làm
commission,nhiệm vụ
administration,sự quản lý
institute,học viện
sponsored,tài trợ.
electronic,điện tử
condition,tình trạng
effective,có hiệu lực
organization,tổ chức
selection,Lựa chọn
corporation,tập đoàn
executive,"chấp hành, quản lý"
necessary,cần thiết
according,theo
particular,cụ thể
facilities,cơ sở
opportunities,những cơ hội
appropriate,thích hợp
statistics,số liệu thống kê
investment,đầu tư
christmas,Giáng sinh
registration,đăng ký
furniture,đồ nội thất
wednesday,Thứ Tư
distribution,phân bổ
industrial,công nghiệp
potential,tiềm năng
responsible,chịu trách nhiệm
associated,có liên quan
foundation,sự thành lập
documents,các tài liệu
communication,giao tiếp
independent,sống độc lập
operating,điều hành
developed,đã phát triển
telephone,Điện thoại
population,dân số
navigation,dẫn đường
operations,Hoạt động
therefore,vì thế
christian,Kitô giáo.
understand,hiểu biết
publications,Ấn phẩm.
worldwide,trên toàn thế giới
connection,sự liên quan
publisher,Nhà xuất bản
introduction,Giới thiệu
properties,tính chất
accommodation,chỗ ở
excellent,thông minh
opportunity,dịp tốt
assessment,"thẩm định, lượng định, đánh giá"
especially,đặc biệt là
interface,Giao diện
operation,hoạt động
restaurants,Nhà hàng
beautiful,xinh đẹp
locations,địa điểm
significant,có ý nghĩa
technologies,công nghệ.
manufacturer,nhà chế tạo
providing,cung cấp
authority,thẩm quyền
considered,được xem xét
programme,chương trình
enterprise,Doanh nghiệp
educational,giáo dục
employees,người lao động
alternative,thay thế
processing,Chế biến
responsibility,nhiệm vụ
resolution,nghị quyết
publication,sự xuất bản
relations,Quan hệ
photography,nhiếp ảnh
components,các thành phần
assistance,sự giúp đỡ
completed,hoàn thành
organizations,tổ chức
otherwise,nếu không thì
transportation,vận tải
disclaimer,Tuyên bố miễn trừ trách nhiệm
membership,thành viên
recommended,khuyến khích
background,lai lịch
character,tính cách
maintenance,Sự bảo trì
functions,chức năng
trademarks,Thương hiệu.
phentermine,phentermine.
submitted,ĐĂNG KÝ
television,Tivi
interested,quan tâm đến
throughout,khắp
established,thành lập
programming,Lập trình.
regarding,về
instructions,hướng dẫn
increased,tăng
understanding,hiểu
associates,cộng sự
instruments,dụng cụ
businesses,các doanh nghiệp
specified,quy định
restaurant,nhà hàng
procedures,thủ tục
relationship,mối quan hệ
traditional,truyên thông
sometimes,thỉnh thoảng
transport,vận chuyển
evaluation,đánh giá
implementation,thực hiện
galleries,phòng trưng bày
references,người giới thiệu
presented,trình bày
literature,văn chương
respective,tương ứng
definition,Định nghĩa
networking,Mạng.
australian,người Úc
magazines,tạp chí thời sự
francisco,Francisco.
individuals,cá nhân
guidelines,hướng dẫn
installation,cài đặt
described,mô tả
attention,chú ý
regulations,quy định
certificate,chứng chỉ
documentation,tài liệu
automotive,Ô tô
successful,thành công
communities,cộng đồng
situation,tình hình
publishing,Xuất bản
emergency,trường hợp khẩn cấp
developing,phát triển
determine,quyết tâm
temperature,nhiệt độ
announcements,Thông báo
historical,lịch sử
ringtones,nhạc chuông
difficult,khó khăn
scientific,có tính khoa học
satellite,vệ tinh
particularly,cụ thể
functional,chức năng.
monitoring,giám sát
architecture,ngành kiến ​​trúc
recommend,giới thiệu
dictionary,từ điển
accounting,kế toán
manufacturing,chế tạo
professor,giáo sư
generally,nói chung
continued,tiếp tục
techniques,Kỹ thuật
permission,sự cho phép
generation,thế hệ
component,thành phần
guarantee,Bảo hành
processes,quy trình
interests,Sở thích
paperback,Bìa mềm
classifieds,Rao vặt.
supported,hỗ trợ
competition,sự cạnh tranh
providers,Nhà cung cấp
characters,nhân vật
thousands,Hàng ngàn.
apartments,Căn hộ
generated,tạo ra
administrative,hành chính
practices,thực hành.
reporting,Báo cáo
essential,Thiết yếu
affiliate,Chi nhánh
immediately,ngay lập tức
designated,được chỉ định.
integrated,tích hợp
configuration,cấu hình
comprehensive,toàn diện
universal,phổ quát
languages,Ngôn ngữ.
compliance,sự tuân thủ
improvement,sự cải tiến
pennsylvania,Pennsylvania.
challenge,thách đấu
acceptance,chấp thuận
strategies,chiến lược
affiliates,Chi nhánh
multimedia,Đa phương tiện.
certified,chứng nhận
computing,tin học
interactive,tương tác
procedure,thủ tục
leadership,Khả năng lãnh đạo
religious,Tôn giáo
breakfast,bữa ăn sáng
developer,nhà phát triển
approximately,khoảng
recommendations,khuyến nghị
comparison,so sánh
automatically,tự động
minnesota,Minnesota.
adventure,cuộc phiêu lưu
institutions,thể chế
assistant,phụ tá
advertisement,Quảng cáo
headlines,tiêu đề.
yesterday,hôm qua
determined,xác định
wholesale,bán sỉ
extension,sự mở rộng
statements,các câu lệnh
completely,hoàn toàn
electrical,điện
applicable,áp dụng
manufacturers,Nhà sản xuất của
classical,cổ điển.
dedicated,tận tụy
direction,phương hướng
wisconsin,Wisconsin.
personnel,nhân viên
identified,xác định
professionals,Chuyên gia
advantage,thuận lợi
newsletters,Bản tin
estimated,ước lượng
anonymous,vô danh
miscellaneous,Điều khoản khác
integration,hội nhập
interview,buổi phỏng vấn
framework,Khung
installed,Cài đặt
massachusetts,Massachusetts.
associate,kết hợp
frequently,thường xuyên
discussions,Thảo luận
laboratory,phòng thí nghiệm
destination,điểm đến
intelligence,Sự thông minh
specifications,thông số kỹ thuật
tripadvisor,TripAdvisor
residential,Khu dân cư
decisions,quyết định
industries,các ngành nghề
partnership,hợp tác
editorial,biên tập.
expression,biểu hiện
provisions,điều khoản
principles,Nguyên tắc
suggestions,Gợi ý
replacement,thay thế.
strategic,chiến lược.
economics,Kinh tế học
compatible,tương thích
apartment,chung cư
netherlands,nước Hà Lan
consulting,Tư vấn
recreation,giải trí.
participants,những người tham gia
favorites,yêu thích
estimates,ước tính
protected,được bảo vệ.
officials,quan chức
contained,chứa
legislation,pháp luật
parameters,thông số
relationships,các mối quan hệ
tennessee,Tennessee.
representative,Tiêu biểu
frequency,tần số
introduced,Giới thiệu.
departments,Sở.
residents,cư dân
displayed,hiển thị
performed,thực hiện.
administrator,người quản lý
permanent,dài hạn
agriculture,nông nghiệp
constitutes,cấu thành
portfolio,Danh mục đầu tư
practical,thực tế
delivered,đã giao hàng
collectibles,Sưu tầm
infrastructure,Cơ sở hạ tầng
exclusive,loại trừ
originally,ban đầu
utilities,TIỆN ÍCH
philosophy,triết lý
regulation,Quy định
reduction,sự giảm bớt
nutrition,Dinh dưỡng
recording,ghi âm
wonderful,Tuyệt vời
announced,công bố
prevention,Phòng ngừa
mentioned,đề cập
automatic,tự động
healthcare,chăm sóc sức khỏe
maintained,duy trì
increasing,tăng
directors,đạo diễn
participation,sự tham gia
containing,chứa
combination,sự phối hợp
amendment,sửa đổi.
guaranteed,Đảm bảo
libraries,Thư viện.
distributed,phân phối.
singapore,Singapore
enterprises,Doanh nghiệp
convention,quy ước
principal,hiệu trưởng
certification,chứng nhận.
previously,trước đây
buildings,các tòa nhà
household,hộ gia đình
batteries,pin
positions,vị trí
subscription,đăng ký
contemporary,đương thời
panasonic,Panasonic.
permalink,permalink.
signature,Chữ ký
provision,sự cung cấp
certainly,chắc chắn
newspaper,báo chí
liability,trách nhiệm pháp lý
trademark,Nhãn hiệu
trackback,theo dõi lại
americans,Người Mỹ
promotion,khuyến mãi
conversion,chuyển đổi.
reasonable,hợp lý
broadband,băng thông rộng
influence,ảnh hưởng
importance,tầm quan trọng
webmaster,quản trị trang web.
prescription,đơn thuốc
specifically,đặc biệt
represent,đại diện
conservation,bảo tồn
louisiana,Louisiana.
javascript,JavaScript.
marketplace,thương trường
evolution,sự phát triển
certificates,Giấy chứng nhận
objectives,Mục tiêu.
suggested,đề nghị
concerned,lo lắng
structures,cấu trúc
encyclopedia,Bách Khoa toàn thư
continuing,tiếp tục
interracial,giữa các chủng tộc.
competitive,cạnh tranh
suppliers,các nhà cung cấp
preparation,sự chuẩn bị
receiving,nhận được
accordance,Tùy theo
discussed,thảo luận
elizabeth,Elizabeth.
reservations,đặt phòng
playstation,Playstation.
instruction,hướng dẫn
annotation,Chú thích
differences,sự khác biệt
establish,thiết lập
expressed,bày tỏ
paragraph,đoạn văn
mathematics,toán học
compensation,đền bù
conducted,tiến hành
percentage,Tỷ lệ phần trăm.
mississippi,Mississippi.
requested,yêu cầu
connecticut,Connecticut.
personals,cá nhân.
immediate,ngay tức khắc
agricultural,nông nghiệp
supporting,hỗ trợ
collections,bộ sưu tập
participate,tham gia
specialist,Chuyên gia.
experienced,có kinh nghiệm
investigation,cuộc điều tra
institution,Tổ chức
searching,đang tìm kiếm
proceedings,tố tụng.
transmission,truyền tải
characteristics,đặc trưng
experiences,kinh nghiệm
extremely,cực kì
verzeichnis,verzeichnis.
contracts,hợp đồng.
concerning,liên quan
developers,nhà phát triển
equivalent,tương đương
chemistry,hóa học
neighborhood,hàng xóm
variables,biến
continues,Tiếp tục
curriculum,chương trình giảng dạy
psychology,tâm lý
responses,Phản hồi
circumstances,trường hợp
identification,nhận biết
appliances,thiết bị
elementary,tiểu học.
unlimited,vô hạn
printable,có thể in
enforcement,thực thi
hardcover,bìa cứng
celebrity,Danh nhân
chocolate,sô cô la
hampshire,Hampshire.
bluetooth,Bluetooth
controlled,kiểm soát
requirement,yêu cầu
authorities,Cơ quan chức năng
representatives,Đại diện
pregnancy,thai kỳ
biography,tiểu sử
attractions,Điểm tham quan
transactions,giao dịch
authorized,ủy quyền.
retirement,sự nghỉ hưu
financing,Tài chính
efficient,Có hiệu quả
commitment,sự cam kết
specialty,chuyên môn
interviews,phỏng vấn
qualified,đạt tiêu chuẩn
discovery,khám phá
classified,Phân loại
confidence,sự tự tin
consistent,đặc
clearance,giải tỏa
inventory,hàng tồn kho
converter,chuyển đổi.
organisation,tổ chức
objective,khách quan
indicated,chỉ ra
securities,chứng khoán.
volunteer,Tình nguyện viên
democratic,Dân chủ
switzerland,Thụy sĩ
parameter,tham số
processor,bộ xử lý
dimensions,Kích thước.
contribute,Góp phần
challenges,THỬ THÁCH
recognition,sự công nhận
submission,nộp hồ sơ
encourage,khích lệ
regulatory,quy định
inspection,điều tra
consumers,người tiêu dùng
territory,lãnh thổ
transaction,Giao dịch
manchester,Manchester.
contributions,đóng góp
continuous,tiếp diễn
resulting,kết quả
cambridge,cambridge.
initiative,sáng kiến
execution,chấp hành
disability,khuyết tật
increases,tăng
contractor,Nhà thầu
examination,kiểm tra
indicates,chỉ ra.
committed,tận tụy
extensive,sâu rộng
affordable,giá cả phải chăng
candidate,ứng viên
databases,cơ sở dữ liệu
outstanding,vượt trội
perspective,Góc nhìn cá nhân
messenger,tin nhắn
tournament,giải đấu.
consideration,Sự xem xét
discounts,Giảm giá
catalogue,mục lục
publishers,Nhà xuất bản
reservation,Dự phòng
remaining,còn lại
depending,tùy
expansion,sự bành trướng
purchased,mua
performing,biểu diễn
collected,thu thập
absolutely,chắc chắn rồi
featuring,đặc trưng
implement,triển khai thực hiện
scheduled,lên kế hoạch
calculator,máy tính
significantly,đáng kể
temporary,tạm thời
sufficient,hợp lý
vancouver,Vancouver.
contribution,sự đóng góp
measurement,đo đạc
constitution,Tổ chức
packaging,Đóng gói.
consultation,Tư vấn
northwest,Tây Bắc
classroom,lớp học
democracy,nền dân chủ
wallpaper,hình nền
merchandise,hàng hóa
resistance,Sức cản
baltimore,Baltimore.
candidates,ứng viên
charlotte,Charlotte.
biological,sinh học.
transition,Chuyển đổi
preferences,sở thích
instrument,dụng cụ
classification,Phân loại.
physician,bác sĩ
hollywood,Hollywood.
wikipedia,Wikipedia.
spiritual,tâm linh.
photographs,hình ảnh
relatively,tương đối
satisfaction,sự thỏa mãn
represents,đại diện
pittsburgh,Pittsburgh.
preferred,ưu tiên
intellectual,trí thức.
comfortable,Thoải mái
interaction,sự tương tác
effectively,có hiệu quả
experimental,thực nghiệm
revolution,Cuộc cách mạng
consolidation,Hợp nhất.
landscape,phong cảnh
dependent,phụ thuộc
mechanical,cơ khí
consultants,Tư vấn
applicant,người xin việc
cooperation,sự hợp tác
acquisition,mua lại
implemented,thực hiện.
directories,Thư mục.
recognized,được công nhận
notification,thông báo
licensing,cấp phép
textbooks,sách giáo khoa
diversity,đa dạng
cleveland,Cleveland.
investments,đầu tư
accessibility,khả năng tiếp cận
sensitive,nhạy cảm
templates,Mẫu
completion,hoàn thành
universities,trường đại học
technique,kĩ thuật
contractors,nhà thầu
subscriptions,đăng ký.
calculate,tính toán
alexander,Alexander.
broadcast,phát tin
converted,chuyển đổi
improvements,cải tiến
specification,sự chỉ rõ
accessible,có thể truy cập
accessory,phụ kiện
typically,tiêu biểu
representation,đại diện
arrangements,sắp xếp
conferences,hội nghị
uniprotkb,Uniprotkb.
consumption,sự tiêu thụ
birmingham,Birmingham.
afternoon,buổi chiều
consultant,tư vấn
controller,Bộ điều khiển
ownership,quyền sở hữu
committees,Ủy ban
legislative,lập pháp
researchers,Các nhà nghiên cứu
unsubscribe,hủy đăng ký
molecular,phân tử.
residence,nơi cư trú
attorneys,luật sư.
operators,Các nhà khai thác.
sustainable,bền vững
statistical,thống kê.
innovation,sự đổi mới
employers,sử dụng lao động
definitions,các định nghĩa
elections,Bầu cử
stainless,không gỉ
newspapers,Báo
exception,ngoại lệ
successfully,thành công
indonesia,Indonesia.
primarily,chủ yếu
capabilities,Khả năng
recommendation,sự giới thiệu
recruitment,Tuyển dụng.
organized,được tổ chức
improving,nâng cao
expensive,đắt
organisations,tổ chức
explained,giải thích
programmes,Chương trình
expertise,Chuyên môn.
mechanism,cơ chế.
jewellery,đồ kim hoàn
eventually,sau cùng
agreements,Thỏa thuận
considering,xem xét
innovative,sáng tạo
conclusion,phần kết luận
disorders,rối loạn.
collaboration,sự hợp tác
detection,Phát hiện.
formation,sự hình thành
engineers,Kỹ sư
proposals,đề xuất.
moderator,Người điều hành.
tutorials,hướng dẫn
settlement,Giải quyết
collectables,sưu tầm
fantastic,tuyệt diệu
governments,Chính phủ
purchasing,thu mua
appointed,bổ nhiệm
operational,Hoạt động
corresponding,tương ứng
descriptions,mô tả
determination,sự quyết tâm
productions,sản xuất
telecommunications,Viễn thông
instructor,Giảng viên
approaches,phương pháp tiếp cận
highlights,Điểm nổi bật
designers,Nhà thiết kế
melbourne,Melbourne.
scientists,các nhà khoa học
blackjack,blackjack.
argentina,Argentina.
possibility,khả năng
commissioner,Ủy viên
dangerous,sự nguy hiểm
reliability,độ tin cậy
unfortunately,không may
respectively,tương ứng
volunteers,Tình nguyện viên
attachment,tập tin đính kèm
appointment,cuộc hẹn
workshops,hội thảo
hurricane,bão
represented,đại diện
mortgages,Thế chấp
carefully,cẩn thận
productivity,năng suất
investors,Nhà đầu tư
underground,bí mật
diagnosis,chẩn đoán
principle,nguyên tắc
vacations,kỳ nghỉ
calculated,tính toán
appearance,vẻ bề ngoài
incorporated,hợp nhất
notebooks,sổ ghi chép
algorithm,thuật toán
valentine,lễ tình nhân
involving,liên quan
investing,đầu tư
christopher,Christopher.
admission,nhận vào
terrorism,Khủng bố.
parliament,Quốc hội.
situations,tình huống
allocated,phân bổ.
corrections,đính chính
structural,cấu trúc
municipal,thành phố.
describes,mô tả
disabilities,Khuyết tật
substance,chất
prohibited,Cấm
addressed,giải quyết
simulation,mô phỏng.
initiatives,khả năng phán đoán
concentration,sự tập trung
interpretation,diễn dịch
bankruptcy,Phá sản.
optimization,tối ưu hóa
substances,vật liệu xây dựng
discovered,đã phát hiện
restrictions,những hạn chế
participating,tham gia
exhibition,buổi triển lãm
composition,thành phần
nationwide,Trên toàn quốc
definitely,chắc chắn
existence,sự tồn tại
commentary,Bình luận
limousines,xe limousines.
developments,phát triển
immigration,nhập cư.
destinations,Điểm đến
necessarily,nhất thiết
attribute,thuộc tính
apparently,rõ ràng
surrounding,xung quanh
popularity,phổ biến
postposted,bưu điện
coordinator,Điều phối viên.
obviously,rõ ràng
fundamental,cơ bản
substantial,đáng kể
progressive,cấp tiến
championship,chức vô địch
sacramento,Sacramento.
impossible,Không thể nào
depression,Phiền muộn
testimonials,Lời chứng thực
memorabilia,kỷ niệm
cartridge,hộp đạn
explanation,giải trình
cincinnati,cincinnati.
subsection,tiểu mục
permitted,được phép
workplace,nơi làm việc
confirmed,đã xác nhận
wallpapers,hình nền.
infection,sự nhiễm trùng
eligibility,đủ điều kiện
involvement,sự tham gia
placement,Vị trí
observations,quan sát
vbulletin,vbulletin.
subsequent,tiếp theo
motorcycle,xe máy
disclosure,tiết lộ
establishment,thành lập.
presentations,thuyết trình
undergraduate,sinh viên đại học.
occupation,nghề nghiệp
donations,Quyên góp
associations,hiệp hội
citysearch,CitySearch.
radiation,sự bức xạ
seriously,nghiêm túc
elsewhere,ở nơi khác
conservative,thận trọng
guestbook,Sổ lưu niệm
effectiveness,hiệu quả
demonstrate,chứng tỏ
atmosphere,bầu khí quyển
experiment,thí nghiệm
purchases,mua hàng
federation,Liên đoàn
assignment,phân công
chemicals,hóa chất
everybody,mọi người
nashville,Nashville.
counseling,Tư vấn
acceptable,chấp nhận
satisfied,thỏa mãn
measurements,đo
milwaukee,Milwaukee.
medication,thuốc
warehouse,Kho
shareware,Phần mềm chia sẻ
violation,sự vi phạm
configure,cấu hình.
southwest,tây nam
institutional,thể chế.
expectations,mong đợi
independence,Sự độc lập
metabolism,sự trao đổi chất
personally,Cá nhân.
excellence,xuất sắc
somewhere,một vài nơi
attributes,thuộc tính
recognize,nhìn nhận
screening,sàng lọc
thumbnail,hình nhỏ
forgotten,quên
intelligent,thông minh
obligation,nghĩa vụ
regardless,bất kể
restricted,hạn chế
republican,Cộng hòa.
merchants,thương nhân.
attendance,sự tham dự
arguments,tranh luận
amsterdam,Amsterdam.
adventures,Cuộc phiêu lưu
announcement,sự thông báo
regularly,thường xuyên
mechanisms,cơ chế
customize,tùy chỉnh.
tradition,truyền thống
indicators,chỉ số
emissions,khí thải.
physicians,bác sĩ.
complaint,lời phàn nàn
experiments,thí nghiệm
afghanistan,Afghanistan.
scholarship,học bổng
governance,quản trị.
supplements,Bổ sung
camcorder,Máy quay phim
implementing,thực thi
ourselves,chính chúng ta
conversation,cuộc hội thoại
capability,Khả năng
producing,sản xuất
precision,độ chính xác
contributed,đóng góp.
reproduction,sinh sản
ingredients,Thành phần
franchise,nhượng quyền thương mại
complaints,Khiếu nại.
promotions,khuyến mãi
rehabilitation,Phục hồi chức năng
maintaining,duy trì
environments,môi trường
reception,tiếp nhận
correctly,chính xác.
consequences,hậu quả
geography,môn Địa lý
appearing,xuất hiện
integrity,thanh Liêm
discrimination,phân biệt
processed,xử lý
implications,hàm ý
intermediate,Trung cấp
emotional,đa cảm
platforms,nền tảng
geographic,Địa lý
preliminary,sơ bộ
districts,quận
introduce,giới thiệu
promotional,khuyến mãi
chevrolet,chevrolet.
specialists,Chuyên gia
generator,máy phát điện
suspension,Huyền phù
correction,điều chỉnh
authentication,xác thực
communicate,giao tiếp
supplement,phần bổ sung
showtimes,lịch chiếu phim
promoting,quảng bá.
machinery,Máy móc
bandwidth,băng thông
probability,xác suất
dimension,kích thước
schedules,Lịch trình
admissions,Tuyển sinh
quarterly,hàng quý
illustrated,minh họa
continental,Continental.
alternate,Luân phiên
achievement,thành tích
limitations,Hạn chế
automated,tự động
passenger,hành khách
convenient,tiện lợi
orientation,sự định hướng
flexibility,Uyển chuyển
jurisdiction,quyền hạn
displaying,hiển thị
encouraged,động viên
cartridges,hộp mực
declaration,tờ khai
automation,tự động hóa
preparing,chuẩn bị
recipient,người nhận
extensions,mở rộng
athletics,Thế vận hội
southeast,Đông Nam
alternatives,lựa chọn thay thế
determining,xác định
personalized,cá nhân hóa
conditioning,điều hòa
partnerships,Quan hệ đối tác
destruction,sự phá hủy
increasingly,ngày càng
migration,di cư.
basically,về cơ bản
conventional,thông thường
applicants,Ứng viên
occupational,nghề nghiệp
adjustment,điều chỉnh.
treatments,phương pháp điều trị
camcorders,Máy quay phim
difficulty,sự khó khăn
collective,tập thể
coalition,liên minh
enrollment,ghi danh
producers,nhà sản xuất
collector,nhà sưu tập.
interfaces,giao diện.
advertisers,Nhà quảng cáo
representing,đại diện
observation,quan sát
restoration,sự phục hồi
convenience,tiện
opposition,Sự đối lập
container,thùng đựng hàng
defendant,bị cáo
confirmation,Xác nhận
supervisor,người giám sát
peripherals,thiết bị ngoại vi.
bestsellers,bán chạy nhất
departure,sự khởi hành
minneapolis,minneapolis.
interactions,TƯƠNG TÁC
intervention,sự can thiệp
attraction,sức hút
modification,sửa đổi.
customized,tùy chỉnh.
understood,hiểu
assurance,Đảm bảo
happening,đang xảy ra
amendments,sửa đổi
metropolitan,Metropolitan.
compilation,biên soạn.
verification,xác minh
attractive,hấp dẫn
recordings,Bản ghi âm
gardening,làm vườn
obligations,Nghĩa vụ
orchestra,dàn nhạc
polyphonic,đa âm
outsourcing,Gia công
adjustable,điều chỉnh
allocation,phân bổ.
discipline,kỷ luật
demonstrated,chứng minh
identifying,xác định
alphabetical,bảng chữ cái.
dispatched,phái đi
installing,lắp đặt.
photographer,nhiếp ảnh gia
messaging,Nhắn tin.
constructed,xây dựng
additions,bổ sung.
requiring,yêu cầu
engagement,hôn ước
refinance,Tái cấp vốn
arrangement,sự sắp xếp
conclusions,kết luận
bibliography,thư mục
compatibility,Khả năng tương thích
furthermore,Hơn nữa.
cooperative,Hợp tác xã.
measuring,đo lường
jacksonville,Jacksonville.
headquarters,trụ sở chính
transfers,chuyển giao.
transformation,chuyển đổi.
attachments,Tệp đính kèm.
administrators,Quản trị viên
personality,nhân cách
facilitate,tạo điều kiện
subscriber,người đăng kí
priorities,ưu tiên
bookstore,Nhà sách.
parenting,nuôi dạy con cái
incredible,đáng kinh ngạc
commonwealth,liên bang
pharmaceutical,dược phẩm
manhattan,thành phố Manhattan
workforce,Lực lượng lao động
organizational,tổ chức.
portuguese,Bồ Đào Nha
everywhere,mọi nơi
discharge,phóng điện
halloween,halloween.
hazardous,nguy hiểm
methodology,Phương pháp học.
housewares,đồ gia dụng.
reputation,uy tín
resistant,Chống lại
democrats,Dân chủ
recycling,tái chế
qualifications,Trình độ chuyên môn
slideshow,trình chiếu
variation,Biến thể.
transferred,chuyển nhượng
photograph,ảnh chụp
distributor,nhà phân phối
underlying,cơ bản
wrestling,Đấu vật
photoshop,photoshop.
gathering,thu thập
projection,Dự đoán
